,obj,status,move_cost,reward,reward1,reward2,reward3,reward4,batch,pomo
171,1039.7466,0,297.0,1039.7466,16.0,726.74658203125,0.0,0.0,17,1
172,994.78925,0,297.0,994.78925,21.0,676.7892456054688,0.0,0.0,17,2
173,1065.0353,0,297.0,1065.0353,18.0,750.0352783203125,0.0,0.0,17,3
174,987.7568,0,297.0,987.7568,22.0,668.7567749023438,0.0,0.0,17,4
175,1059.2915,0,296.0,1059.2915,24.0,739.2915649414062,0.0,0.0,17,5
176,989.25415,0,296.0,989.25415,27.0,666.254150390625,0.0,0.0,17,6
177,1164.238,0,294.0,1164.238,62.0,798.2380981445312,0.0,10.0,17,7
178,1075.7158,0,294.0,1075.7158,26.0,755.7158813476562,0.0,0.0,17,8
179,1032.3491,0,296.0,1032.3491,26.0,710.3490600585938,0.0,0.0,17,9
180,976.2904,0,226.0,976.2904,19.0,731.2904052734375,0.0,0.0,18,0
181,963.1978,0,227.0,963.1978,19.0,717.1978149414062,0.0,0.0,18,1
182,964.1607,0,227.0,964.1607,22.0,715.1607055664062,0.0,0.0,18,2
183,976.21594,0,227.0,976.21594,22.0,727.2159423828125,0.0,0.0,18,3
184,962.97864,0,227.0,962.97864,19.0,716.9786376953125,0.0,0.0,18,4
185,1029.0358,0,226.0,1029.0358,38.0,765.0357666015625,0.0,0.0,18,5
186,983.6952,0,226.0,983.6952,16.0,741.6951904296875,0.0,0.0,18,6
187,1060.1821,0,229.0,1060.1821,52.0,778.18212890625,0.0,1.0,18,7
188,1015.2057,0,228.0,1015.2057,31.0,756.2056884765625,0.0,0.0,18,8
189,976.6104,0,229.0,976.6104,17.0,730.6104125976562,0.0,0.0,18,9
190,1058.0952,0,241.0,1058.0952,46.0,771.0951538085938,0.0,0.0,19,0
191,1066.1007,0,242.0,1066.1007,58.0,766.1007080078125,0.0,0.0,19,1
192,1061.3065,0,242.0,1061.3065,59.0,760.3065185546875,0.0,0.0,19,2
193,1039.2917,0,242.0,1039.2917,50.0,747.2916870117188,0.0,0.0,19,3
194,1066.1007,0,242.0,1066.1007,58.0,766.1007080078125,0.0,0.0,19,4
195,1071.9275,0,244.0,1071.9275,66.0,760.9274291992188,0.0,1.0,19,5
196,1062.9763,0,240.0,1062.9763,42.0,780.976318359375,0.0,0.0,19,6
197,1388.3684,0,239.0,1388.3684,134.0,841.368408203125,0.0,174.0,19,7
198,1118.4594,0,239.0,1118.4594,65.0,810.4593505859375,0.0,4.0,19,8
199,1059.9719,0,242.0,1059.9719,50.0,767.971923828125,0.0,0.0,19,9
200,1025.5535,0,245.0,1025.5535,18.0,762.5535278320312,0.0,0.0,20,0
201,1035.041,0,245.0,1035.041,43.0,746.0409545898438,0.0,1.0,20,1
202,1001.05945,0,246.0,1001.05945,33.0,722.0594482421875,0.0,0.0,20,2
203,1048.3398,0,245.0,1048.3398,43.0,756.3399047851562,0.0,4.0,20,3
204,1012.33563,0,250.0,1012.33563,32.0,730.3356323242188,0.0,0.0,20,4
205,1053.295,0,245.0,1053.295,48.0,755.2950439453125,0.0,5.0,20,5
206,1006.6987,0,249.0,1006.6987,31.0,726.69873046875,0.0,0.0,20,6
207,1056.6384,0,245.0,1056.6384,64.0,742.638427734375,0.0,5.0,20,7
208,998.7733,0,250.0,998.7733,29.0,719.7733154296875,0.0,0.0,20,8
209,1041.7915,0,248.0,1041.7915,28.0,765.7915649414062,0.0,0.0,20,9
210,1024.5372,0,255.0,1024.5372,68.0,701.5372314453125,0.0,0.0,21,0
211,1195.541,0,245.0,1195.541,126.0,788.541015625,0.0,36.0,21,1
212,1001.7542,0,254.0,1001.7542,57.0,690.7542114257812,0.0,0.0,21,2
213,1202.9087,0,243.0,1202.9087,95.0,864.90869140625,0.0,0.0,21,3
214,1205.4944,0,246.0,1205.4944,125.0,809.494384765625,0.0,25.0,21,4
215,1054.4656,0,252.0,1054.4656,80.0,722.4656372070312,0.0,0.0,21,5
216,1060.3712,0,254.0,1060.3712,70.0,736.3712158203125,0.0,0.0,21,6
217,1151.542,0,253.0,1151.542,111.0,747.5419921875,0.0,40.0,21,7
218,1086.4803,0,255.0,1086.4803,73.0,758.4803466796875,0.0,0.0,21,8
219,1199.5125,0,245.0,1199.5125,113.0,837.5125122070312,0.0,4.0,21,9
220,1095.4912,0,277.0,1095.4912,23.0,795.4911499023438,0.0,0.0,22,0
221,1070.6633,0,279.0,1070.6633,26.0,765.6632690429688,0.0,0.0,22,1
222,1064.8665,0,279.0,1064.8665,28.0,757.866455078125,0.0,0.0,22,2
223,1046.0768,0,279.0,1046.0768,21.0,746.0767822265625,0.0,0.0,22,3
224,1064.8665,0,279.0,1064.8665,28.0,757.866455078125,0.0,0.0,22,4
225,1042.4851,0,281.0,1042.4851,27.0,734.4851684570312,0.0,0.0,22,5
226,1087.1093,0,282.0,1087.1093,19.0,786.1092529296875,0.0,0.0,22,6
227,1071.185,0,286.0,1071.185,39.0,746.1849975585938,0.0,0.0,22,7
228,1126.4773,0,277.0,1126.4773,30.0,819.477294921875,0.0,0.0,22,8
229,1078.3943,0,282.0,1078.3943,22.0,774.3942260742188,0.0,0.0,22,9
230,1074.0667,0,247.0,1074.0667,40.0,787.066650390625,0.0,0.0,23,0
231,1134.0632,0,246.0,1134.0632,66.0,821.063232421875,0.0,1.0,23,1
232,1097.656,0,247.0,1097.656,60.0,781.6560668945312,0.0,9.0,23,2
233,1100.511,0,243.0,1100.511,54.0,802.5110473632812,0.0,1.0,23,3
234,1018.1607,0,249.0,1018.1607,32.0,737.1607055664062,0.0,0.0,23,4
235,1177.004,0,243.0,1177.004,84.0,789.0040283203125,0.0,61.0,23,5
236,1033.0952,0,249.0,1033.0952,40.0,744.0951538085938,0.0,0.0,23,6
237,1117.106,0,248.0,1117.106,69.0,799.10595703125,0.0,1.0,23,7
238,1050.1279,0,252.0,1050.1279,37.0,761.1279296875,0.0,0.0,23,8
239,1122.364,0,241.0,1122.364,59.0,822.364013671875,0.0,0.0,23,9
240,1095.5243,0,245.0,1095.5243,82.0,764.5242919921875,0.0,4.0,24,0
241,1127.2983,0,248.0,1127.2983,83.0,756.2982788085938,0.0,40.0,24,1
242,1121.1941,0,246.0,1121.1941,88.0,735.194091796875,0.0,52.0,24,2
243,1006.45953,0,242.0,1006.45953,28.0,736.4595336914062,0.0,0.0,24,3
244,1114.5183,0,248.0,1114.5183,81.0,745.5183715820312,0.0,40.0,24,4
245,1169.2145,0,243.0,1169.2145,96.0,724.2144775390625,0.0,106.0,24,5
246,1169.8894,0,246.0,1169.8894,80.0,791.889404296875,0.0,52.0,24,6
247,1234.7703,0,245.0,1234.7703,101.0,771.770263671875,0.0,117.0,24,7
248,1159.1033,0,246.0,1159.1033,90.0,750.1032104492188,0.0,73.0,24,8
249,1193.7493,0,245.0,1193.7493,92.0,755.7492065429688,0.0,101.0,24,9
250,1091.6843,0,288.0,1091.6843,24.0,779.684326171875,0.0,0.0,25,0
251,1014.1593,0,291.0,1014.1593,29.0,694.1593017578125,0.0,0.0,25,1
252,1016.7716,0,291.0,1016.7716,30.0,695.7716064453125,0.0,0.0,25,2
253,1018.54266,0,291.0,1018.54266,26.0,701.5426635742188,0.0,0.0,25,3
254,1016.7716,0,291.0,1016.7716,30.0,695.7716064453125,0.0,0.0,25,4
255,1159.9493,0,281.0,1159.9493,71.0,790.9493408203125,0.0,17.0,25,5
256,1054.6924,0,292.0,1054.6924,26.0,736.6923217773438,0.0,0.0,25,6
257,1119.9678,0,286.0,1119.9678,51.0,782.9678344726562,0.0,0.0,25,7
258,1150.4209,0,292.0,1150.4209,36.0,822.4208984375,0.0,0.0,25,8
259,1036.8635,0,292.0,1036.8635,20.0,724.8634643554688,0.0,0.0,25,9
260,1073.9242,0,292.0,1073.9242,28.0,753.9241943359375,0.0,0.0,26,0
261,1088.753,0,293.0,1088.753,34.0,761.7530517578125,0.0,0.0,26,1
262,1074.3522,0,295.0,1074.3522,37.0,742.3521728515625,0.0,0.0,26,2
263,1131.3154,0,293.0,1131.3154,34.0,804.3153686523438,0.0,0.0,26,3
264,1074.3522,0,295.0,1074.3522,37.0,742.3521728515625,0.0,0.0,26,4
265,1187.3367,0,296.0,1187.3367,71.0,820.3367309570312,0.0,0.0,26,5
266,1129.4584,0,294.0,1129.4584,43.0,792.4583740234375,0.0,0.0,26,6
267,1163.3994,0,293.0,1163.3994,39.0,831.3993530273438,0.0,0.0,26,7
268,1105.6807,0,290.0,1105.6807,37.0,778.6807250976562,0.0,0.0,26,8
269,1083.0637,0,294.0,1083.0637,34.0,755.063720703125,0.0,0.0,26,9
270,1063.8444,0,205.0,1063.8444,68.0,717.8443603515625,0.0,73.0,27,0
271,1430.5632,0,207.0,1430.5632,99.0,697.5631713867188,0.0,427.0,27,1
272,1477.9304,0,207.0,1477.9304,104.0,698.930419921875,0.0,468.0,27,2
273,1435.0803,0,207.0,1435.0803,99.0,702.0802612304688,0.0,427.0,27,3
274,1430.5632,0,207.0,1430.5632,99.0,697.5631713867188,0.0,427.0,27,4
275,1444.6511,0,207.0,1444.6511,123.0,670.651123046875,0.0,444.0,27,5
276,1272.9656,0,205.0,1272.9656,82.0,752.965576171875,0.0,233.0,27,6
277,1256.5,0,206.0,1256.5,127.0,757.5,0.0,166.0,27,7
278,1153.8339,0,210.0,1153.8339,73.0,712.8338623046875,0.0,158.0,27,8
279,1439.6533,0,208.0,1439.6533,104.0,721.6533813476562,0.0,406.0,27,9
280,1114.3555,0,208.0,1114.3555,79.0,827.3554077148438,0.0,0.0,28,0
281,1090.8013,0,210.0,1090.8013,72.0,808.80126953125,0.0,0.0,28,1
282,1096.6692,0,209.0,1096.6692,80.0,807.6692504882812,0.0,0.0,28,2
283,1086.8866,0,210.0,1086.8866,69.0,807.8865966796875,0.0,0.0,28,3
284,1085.9154,0,210.0,1085.9154,69.0,806.9154052734375,0.0,0.0,28,4
285,1108.6794,0,213.0,1108.6794,93.0,802.679443359375,0.0,0.0,28,5
286,1128.7737,0,210.0,1128.7737,65.0,853.773681640625,0.0,0.0,28,6
287,1205.4956,0,213.0,1205.4956,140.0,848.49560546875,0.0,4.0,28,7
288,1130.8467,0,213.0,1130.8467,74.0,843.8466186523438,0.0,0.0,28,8
289,1071.023,0,210.0,1071.023,59.0,802.02294921875,0.0,0.0,28,9
290,1117.1655,0,242.0,1117.1655,33.0,842.1654663085938,0.0,0.0,29,0
291,1072.134,0,245.0,1072.134,40.0,787.1340942382812,0.0,0.0,29,1
292,1081.7089,0,245.0,1081.7089,44.0,791.7088623046875,0.0,1.0,29,2
293,1081.7089,0,245.0,1081.7089,44.0,791.7088623046875,0.0,1.0,29,3
294,1081.7089,0,245.0,1081.7089,44.0,791.7088623046875,0.0,1.0,29,4
295,1058.9514,0,245.0,1058.9514,51.0,737.951416015625,0.0,25.0,29,5
296,1078.9861,0,242.0,1078.9861,48.0,788.9860229492188,0.0,0.0,29,6
297,1154.5188,0,243.0,1154.5188,55.0,856.5188598632812,0.0,0.0,29,7
298,1062.1628,0,244.0,1062.1628,42.0,776.162841796875,0.0,0.0,29,8
299,1110.1666,0,245.0,1110.1666,48.0,817.1666259765625,0.0,0.0,29,9
300,1008.98035,0,257.0,1008.98035,20.0,731.9803466796875,0.0,0.0,30,0
301,982.06274,0,260.0,982.06274,15.0,707.062744140625,0.0,0.0,30,1
302,944.268,0,258.0,944.268,13.0,673.2680053710938,0.0,0.0,30,2
303,994.75903,0,259.0,994.75903,12.0,723.759033203125,0.0,0.0,30,3
304,982.97894,0,260.0,982.97894,15.0,707.9789428710938,0.0,0.0,30,4
